""	"corr"	"length"	"shift"
"893"	0.8	303	-12
"894"	0.87	271	9
"895"	0.75	77	-31
"896"	0.76	397	0
"897"	0.52	321	50
"898"	0.86	279	50
"899"	0.44	1	50
"900"	0.89	307	-30
"901"	0.7	203	50
"902"	0.97	279	-17
"903"	0.73	299	24
"904"	0.46	472	42
"905"	0.86	176	11
"906"	0.67	349	-50
"907"	0.63	209	-50
"908"	0.9	265	9
"909"	0.8	284	34
"910"	0.84	1	-50
"911"	0.81	1	-50
"912"	0.97	274	2
"913"	0.95	244	-2
"914"	0.9	260	-16
"915"	0.87	157	4
"916"	0.43	1	0
"917"	0.88	317	-27
"918"	0.66	37	50
"919"	0.83	291	37
"920"	0.75	1	50
"921"	0.74	250	5
"922"	0.81	49	-2
"923"	0.83	355	-17
"924"	0.92	338	0
"925"	0.73	359	50
"926"	0.74	223	24
"927"	0.71	366	11
"928"	0.9	293	22
"929"	0.63	164	-10
"930"	0.85	312	-38
"931"	0.72	397	0
"932"	0.73	334	50
"933"	0.83	379	0
"934"	0.71	367	-50
"935"	0.94	282	2
"936"	0.81	320	34
"937"	0.98	316	-5
"938"	0.87	325	23
"939"	0.94	328	-13
"940"	0.66	1	-27
"941"	0.69	407	43
"942"	0.82	263	27
"943"	0.77	272	-1
"944"	0.86	1	-34
"945"	0.63	168	50
"946"	0.87	338	-22
"947"	0.53	131	-50
"948"	0.77	354	0
"949"	0.84	234	-15
"950"	0.75	339	24
"951"	0.86	278	-38
"952"	0.81	303	31
"953"	0.83	332	21
"954"	0.91	265	1
"955"	0.88	357	-16
"956"	0.94	259	-14
"957"	0.77	333	15
"958"	0.91	302	-25
"959"	0.58	257	3
"960"	0.73	245	-37
"961"	0.7	153	-33
"962"	0.91	284	-10
"963"	0.62	198	-50
"964"	0.83	287	-3
"965"	0.89	281	29
"966"	0.89	300	-13
"967"	0.86	263	-34
"968"	0.84	348	26
"969"	0.66	379	46
"970"	0.85	1	14
"971"	0.94	289	-3
"972"	0.72	289	-50
"973"	0.89	268	1
"974"	0.86	1	13
"975"	0.73	385	28
"976"	0.97	287	15
"977"	0.92	272	31
"978"	0.91	272	-15
"979"	0.91	287	-35
"980"	0.68	412	20
"981"	0.86	275	7
"982"	0.93	356	0
"983"	0.74	231	36
