""	"corr"	"length"	"shift"
"YDL168W"	0.9	269	12
"YDL167C"	0.83	245	27
"YDL166C"	0.82	270	8
"YDL165W"	0.81	268	9
"YDL164C"	0.92	255	19
"YDL161W"	0.89	237	13
"YDL160C"	0.92	319	-5
"YDL159W"	0.9	317	-23
"YDL155W"	0.83	331	-15
"YDL154W"	0.89	201	19
"YDL153C"	0.86	281	11
"YDL150W"	0.86	281	11
"YDL149W"	0.86	268	33
"YDL148C"	0.84	341	-10
"YDL147W"	0.83	340	1
"YDL146W"	0.87	257	31
"YDL145C"	0.85	276	11
"YDL143W"	0.87	287	4
"YDL142C"	0.88	266	13
"YDL141W"	0.88	268	20
"YDL140C"	0.87	333	-25
"YDL139C"	0.93	274	0
"YDL138W"	0.61	395	-15
"YDL137W"	0.95	334	-17
"YDL136W"	0.69	393	-45
"YDL135C"	0.75	326	-7
"YDL134C"	0.91	322	-3
"YDL133C-A"	0.51	61	50
"YDL132W"	0.93	301	-19
"YDL131W"	0.74	342	-50
"YDL130W-A"	0.76	303	-34
"YDL130W"	0.76	393	-7
"YDL128W"	0.8	322	-16
"YDL127W"	0.75	374	-19
"YDL126C"	0.92	285	-1
"YDL125C"	0.72	1	-49
"YDL124W"	0.5	401	-35
"YDL123W"	0.92	302	4
"YDL122W"	0.94	315	-15
"YDL120W"	0.93	317	-3
"YDL117W"	0.82	268	17
"YDL116W"	0.89	285	12
"YDL115C"	0.89	254	22
"YDL113C"	0.84	319	8
"YDL112W"	0.84	316	3
"YDL111C"	0.92	373	-8
"YDL110C"	0.91	312	-27
"YDL108W"	0.87	217	33
"YDL107W"	0.72	194	50
"YDL106C"	0.84	244	28
"YDL105W"	0.89	255	9
"YDL104C"	0.91	241	39
"YDL103C"	0.86	241	12
"YDL102W"	0.85	244	21
"YDL101C"	0.92	262	3
"YDL100C"	0.89	249	9
"YDL099W"	0.88	252	18
"YDL098C"	0.83	264	33
"YDL097C"	0.73	375	-47
"YDL095W"	0.82	374	-20
"YDL093W"	0.85	267	17
"YDL092W"	0.93	279	9
"YDL091C"	0.91	213	21
"YDL090C"	0.89	253	37
"YDL089W"	0.93	249	0
"YDL088C"	0.86	246	38
"YDL087C"	0.86	236	32
"YDL085W"	0.85	219	50
"YDL084W"	0.92	330	-7
"YDL083C"	0.65	268	41
"YDL082W"	0.71	377	-38
"YDL081C"	0.88	351	-19
"YDL080C"	0.91	279	5
"YDL079C"	0.88	269	26
"YDL078C"	0.9	237	38
"YDL077C"	0.9	221	17
"YDL076C"	0.7	398	-34
"YDL075W"	0.61	435	-24
"YDL074C"	0.93	326	-7
"YDL072C"	0.8	332	-30
"YDL070W"	0.97	288	-16
"YDL069C"	0.79	205	50
"YDL067C"	0.76	255	11
"YDL066W"	0.86	217	39
"YDL065C"	0.87	261	32
"YDL064W"	0.86	259	26
"YDL063C"	0.82	249	32
"YDL061C"	0.71	389	-28
"YDL060W"	0.67	408	-27
"YDL059C"	0.89	221	40
"YDL058W"	0.88	235	34
"YDL056W"	0.88	232	23
"YDL055C"	0.65	398	-37
"YDL054C"	0.89	257	8
"YDL053C"	0.92	280	6
"YDL052C"	0.97	370	0
"YDL051W"	0.72	343	-50
"YDL049C"	0.89	319	-12
"YDL048C"	0.79	223	31
"YDL047W"	0.78	321	-38
"YDL046W"	0.8	271	16
"YDL045W-A"	0.87	287	-4
"YDL045C"	0.85	255	32
"YDL044C"	0.89	253	42
"YDL043C"	0.88	271	15
"YDL042C"	0.92	306	1
"YDL040C"	0.9	278	20
"YDL039C"	0.61	399	0
"YDL037C"	0.87	358	-18
"YDL036C"	0.92	270	20
"YDL035C"	0.79	249	37
"YDL033C"	0.9	305	7
"YDL031W"	0.9	305	4
"YDL030W"	0.91	255	23
"YDL029W"	0.87	289	1
"YDL028C"	0.92	284	-3
"YDL025C"	0.95	259	12
"YDL024C"	0.69	406	-23
"YDL022W"	0.68	340	-48
"YDL021W"	0.86	325	0
"YDL020C"	0.6	150	50
"YDL019C"	0.96	319	-14
"YDL018C"	0.86	241	47
"YDL017W"	0.9	222	2
"YDL015C"	0.83	323	-23
"YDL014W"	0.86	329	-14
"YDL013W"	0.87	287	13
"YDL012C"	0.85	262	19
"YDL010W"	0.87	352	0
"YDL008W"	0.88	279	11
"YDL007W"	0.7	264	17
"YDL006W"	0.91	282	-7
"YDL005C"	0.81	272	-17
"YDL004W"	0.83	286	8
"YDL003W"	0.94	292	-7
"YDL002C"	0.75	324	-30
"YDL001W"	0.82	337	-9
"YDR001C"	0.65	358	-50
"YDR002W"	0.69	335	-50
"YDR003W"	0.93	328	-5
"YDR004W"	0.91	274	24
"YDR005C"	0.84	285	14
"YDR006C"	0.92	275	17
"YDR007W"	0.87	275	17
"YDR011W"	0.89	214	18
"YDR012W"	0.91	332	-17
"YDR013W"	0.87	249	8
"YDR014W"	0.76	210	50
"YDR014W-A"	0.71	199	50
"YDR016C"	0.91	283	-2
"YDR017C"	0.88	268	4
"YDR019C"	0.79	267	29
"YDR021W"	0.81	243	34
"YDR022C"	0.71	212	49
"YDR023W"	0.79	419	0
"YDR025W"	0.67	401	-28
"YDR026C"	0.8	257	-9
"YDR027C"	0.92	303	-2
"YDR028C"	0.88	237	20
"YDR030C"	0.89	273	15
"YDR031W"	0.88	274	24
"YDR032C"	0.87	289	21
"YDR033W"	0.38	500	-20
"YDR034C"	0.86	330	-23
"YDR035W"	0.82	321	-11
"YDR036C"	0.91	334	-11
"YDR037W"	0.97	333	-8
"YDR040C"	0.73	369	-50
"YDR041W"	0.91	298	-8
"YDR043C"	0.66	371	-15
"YDR044W"	0.89	201	14
"YDR045C"	0.96	277	13
"YDR046C"	0.61	440	-33
"YDR047W"	0.88	235	37
"YDR050C"	0.6	186	49
"YDR051C"	0.89	276	13
"YDR052C"	0.9	334	-14
"YDR054C"	0.89	291	2
"YDR055W"	0.73	288	5
"YDR057W"	0.95	284	11
"YDR058C"	0.6	258	44
"YDR059C"	0.75	236	21
"YDR060W"	0.85	287	13
"YDR062W"	0.85	305	-17
"YDR063W"	0.86	266	-1
"YDR064W"	0.71	378	-37
"YDR065W"	0.83	232	50
"YDR068W"	0.93	261	22
"YDR069C"	0.95	310	-5
"YDR071C"	0.92	335	8
"YDR072C"	0.56	327	-50
"YDR073W"	0.77	281	0
"YDR074W"	0.71	376	-17
"YDR075W"	0.91	279	-1
"YDR076W"	0.9	285	-12
"YDR078C"	0.86	253	24
"YDR079W"	0.87	253	12
"YDR079C-A"	0.88	214	40
"YDR080W"	0.89	214	31
"YDR081C"	0.84	276	19
"YDR082W"	0.84	273	2
"YDR083W"	0.83	261	34
"YDR084C"	0.86	269	38
"YDR086C"	0.81	302	-27
"YDR087C"	0.86	268	27
"YDR088C"	0.83	216	7
"YDR091C"	0.9	291	11
"YDR092W"	0.83	262	3
"YDR093W"	0.78	348	-30
"YDR096W"	0.82	308	33
"YDR097C"	0.8	281	18
"YDR098C"	0.66	233	21
"YDR099W"	0.96	277	20
"YDR100W"	0.91	314	-19
"YDR101C"	0.79	363	-25
"YDR103W"	0.78	340	-30
"YDR104C"	0.8	243	11
"YDR105C"	0.9	248	21
"YDR106W"	0.9	249	30
"YDR107C"	0.9	255	28
"YDR108W"	0.89	255	28
"YDR110W"	0.87	243	7
"YDR113C"	0.9	289	1
"YDR116C"	0.89	269	2
"YDR117C"	0.91	276	13
"YDR118W"	0.91	276	15
"YDR120C"	0.79	287	8
"YDR121W"	0.79	285	3
"YDR122W"	0.76	279	21
"YDR123C"	0.89	362	-4
"YDR125C"	0.87	224	38
"YDR126W"	0.78	200	40
"YDR127W"	0.92	306	-2
"YDR128W"	0.84	283	15
"YDR129C"	0.8	313	-46
"YDR130C"	0.89	273	24
"YDR135C"	0.76	239	29
"YDR137W"	0.87	253	10
"YDR138W"	0.88	313	-6
"YDR139C"	0.87	270	12
"YDR140W"	0.87	271	19
"YDR141C"	0.89	290	10
"YDR142C"	0.97	242	0
"YDR143C"	0.88	281	4
"YDR144C"	0.89	289	25
"YDR145W"	0.85	235	30
"YDR146C"	0.88	315	5
"YDR147W"	0.74	224	20
"YDR148C"	0.74	230	27
"YDR150W"	0.78	1	-50
"YDR151C"	0.64	395	-41
"YDR152W"	0.7	392	-27
"YDR153C"	0.73	311	-3
"YDR155C"	0.61	437	-39
"YDR156W"	0.72	385	-37
"YDR158W"	0.73	381	-50
"YDR159W"	0.84	269	0
"YDR160W"	0.86	266	17
"YDR162C"	0.81	241	45
"YDR163W"	0.82	237	19
"YDR164C"	0.8	230	50
"YDR165W"	0.85	263	22
"YDR166C"	0.87	228	15
"YDR167W"	0.85	232	32
"YDR168W"	0.7	220	36
"YDR169C"	0.82	330	-17
"YDR170C"	0.95	290	10
"YDR171W"	0.81	394	0
"YDR172W"	0.91	273	17
"YDR173C"	0.68	236	25
"YDR174W"	0.68	287	36
"YDR175C"	0.88	320	-9
